CTFIP, White , African American , Asian ,Others
6001,677040,186492,383891,230557
6003,758,0,48,370
6005,33641,714,428,3544
6007,182022,3220,8690,24703
6009,42099,467,631,2797
6011,14169,196,218,6582
6013,639036,92810,144993,147970
6015,21022,991,892,5566
6017,157699,1140,6058,14156
6019,556526,45704,85253,221347
6021,21015,197,629,6094
6023,110110,1477,2878,18593
6025,116384,5824,2698,43146
6027,13893,178,260,4103
6029,537410,45273,32097,200913
6031,107334,11483,5810,26495
6033,55225,1378,685,7083
6035,24986,2989,657,6449
6037,4961910,852780,1340074,2603492
6039,117587,5654,2938,21559
6041,200047,7470,13979,27105
6043,16510,99,208,1473
6045,73196,862,1584,11845
6047,166042,9781,18668,56208
6049,8470,96,124,915
6051,11368,118,37,2382
6053,284397,13091,25553,84394
6055,108377,2943,8761,13970
6057,90959,432,1278,5517
6059,1839676,48361,521268,556220
6061,284169,4502,19797,28009
6063,18706,225,191,1270
6065,1365281,131258,121846,491079
6067,839130,142676,198604,214734
6069,37593,665,1289,14945
6071,1219774,178597,123950,482966
6073,2147740,152313,326825,395590
6075,406874,49071,264709,68518
6077,398739,49261,96579,129034
6079,223464,5666,8158,28289
6081,423328,20503,171499,88997
6083,317602,7976,20663,69810
6085,879240,44431,547207,268518
6087,214289,2424,10556,29632
6089,156316,1470,4414,14706
6091,3126,37,5,198
6093,38777,577,564,4772
6095,212062,60784,59077,78119
6097,384721,6997,18764,63565
6099,385134,14241,26682,83625
6101,61613,1505,12533,17769
6103,52513,374,755,8933
6105,12084,54,166,1397
6107,332169,6294,14669,76272
6109,48883,1275,558,5358
6111,559845,14532,55733,178970
6113,131341,4610,25297,35170
6115,49292,1773,4874,15221
