SAMPN,geoid
3013245,6.08551E+13
1160945,6.08551E+13
1911767,6.0871E+13
1126269,6.0871E+13
2641074,6.0871E+13
1382979,6.0871E+13
1841516,6.0871E+13
1973151,6.0871E+13
2009800,6.0871E+13
1940448,6.0871E+13
1969940,6.0871E+13
7187995,6.0871E+13
2427682,6.0871E+13
1128195,6.0871E+13
1948534,6.0871E+13
1149280,6.0871E+13
1338502,6.08712E+13
1393791,6.08712E+13
1123313,6.08712E+13
7188147,6.08712E+13
1882878,6.08712E+13
1519893,6.08712E+13
1806598,6.08712E+13
1160451,6.08712E+13
1316096,6.08712E+13
2547832,6.08712E+13
1956563,6.08712E+13
1394809,6.08712E+13
1796366,6.08712E+13
1139158,6.08712E+13
2316221,6.08712E+13
1161696,6.08712E+13
1872181,6.08712E+13
1830500,6.08712E+13
1799656,6.08712E+13
1903974,6.08712E+13
1894611,6.08712E+13
1158758,6.08712E+13
1447412,6.08712E+13
3012936,6.08712E+13
1650337,6.08712E+13
2247472,6.08712E+13
1449834,6.08712E+13
1991410,6.08712E+13
1918931,6.08712E+13
1873743,6.08712E+13
1502894,6.08712E+13
1144895,6.08712E+13
2001888,6.08712E+13
1994478,6.08712E+13
1936362,6.08712E+13
1160828,6.08712E+13
1522803,6.08712E+13
1806651,6.08712E+13
1158395,6.08712E+13
1995117,6.08712E+13
1139864,6.0871E+13
1515143,6.0871E+13
1383127,6.0871E+13
2540307,6.0871E+13
1897276,6.08712E+13
1161533,6.08712E+13
1944518,6.08712E+13
1525451,6.08712E+13
1392880,6.08712E+13
1148539,6.08712E+13
2540537,6.08712E+13
1950799,6.08712E+13
1835924,6.08712E+13
1851669,6.08712E+13
1802150,6.08712E+13
1944733,6.08712E+13
2009366,6.08712E+13
1889673,6.08712E+13
