CTFIP,HS1,HS2,HS3,HS4 
6001,149872,158007,90548,133599
6003,123,169,57,61
6005,3568,6599,2254,2294
6007,24636,30659,12885,17285
6009,4321,8889,2171,3413
6011,1615,2174,942,2241
6013,87899,116976,61610,101602
6015,3374,3269,1428,1835
6017,14431,27037,10853,16073
6019,61487,77639,45888,98822
6021,1985,3393,1492,2790
6023,17483,19361,8165,9267
6025,8053,12155,9099,17997
6027,2675,2905,1109,1293
6029,50098,69735,39608,88616
6031,7278,10574,6599,16155
6033,7215,9605,3492,4868
6035,2726,3739,1550,2261
6037,822194,870528,527413,997754
6039,7915,12449,6630,15095
6041,32770,36102,14393,19462
6043,2178,3320,979,1247
6045,10176,12449,4833,6916
6047,12851,19509,12785,28441
6049,1239,1583,511,644
6051,1522,1646,1085,1030
6053,27554,36674,19032,41703
6055,12890,16625,7125,12539
6057,10316,17905,6091,6943
6059,218517,292459,162216,311311
6061,29165,48495,19397,32096
6063,3266,4561,1050,1213
6065,136119,197340,103653,229794
6067,136739,158655,81823,131282
6069,2794,4890,2906,6222
6071,111472,157486,100284,226883
6073,266382,342972,173813,278622
6075,134874,106005,42815,52262
6077,42394,59020,35515,75976
6079,26841,39720,15431,20442
6081,65523,80611,41413,68211
6083,36234,46255,21869,37435
6085,137017,177547,106395,175788
6087,24517,32065,14597,22623
6089,19296,24996,9808,15000
6091,504,604,166,163
6093,6444,7746,2718,3189
6095,30961,44017,23737,40296
6097,51122,64187,28216,40508
6099,32927,47799,26782,56333
6101,6538,9572,4506,10757
6103,6232,8058,3533,5687
6105,1707,2569,706,907
6107,22031,34112,20770,49751
6109,6258,9687,3059,3188
6111,53837,80180,44924,85364
6113,17122,22435,11942,17887
6115,5089,6515,4386,7760
