CTFIP,INC1,INC2,INC3,INC4,INC5,INC6
6001,98849,97912,86929,66937,91726,89673
6003,58,115,87,41,62,47
6005,2752,3878,2949,2251,1821,1064
6007,24609,23317,15220,9869,8135,4315
6009,3854,4643,3475,2557,2949,1316
6011,1618,1968,1414,821,746,405
6013,52601,64505,59720,49796,68302,73163
6015,3686,2291,1863,1047,742,277
6017,9514,14117,12967,9388,12320,10088
6019,78249,72004,50126,33211,32030,18216
6021,2891,2724,1661,1153,881,350
6023,17213,14831,9759,5431,4712,2330
6025,16083,12062,7733,4861,4356,2209
6027,2113,2138,1407,855,991,478
6029,65108,65424,44214,28936,29234,15141
6031,9599,11183,8364,4466,5054,1940
6033,8263,7122,4559,1933,2301,1002
6035,2686,2424,1924,1597,1089,556
6037,724603,736852,567038,386173,432762,370461
6039,10178,12357,7954,4252,5037,2311
6041,13450,16503,14338,12187,18905,27344
6043,2101,1853,1339,1025,994,412
6045,10079,9477,6253,3777,3144,1644
6047,21612,19468,13832,7966,6976,3732
6049,1469,1093,582,420,338,75
6051,1117,1245,1060,842,740,279
6053,23054,29229,24165,16927,18466,13122
6055,8106,10062,8646,6429,8329,7607
6057,8105,9907,8135,5685,5814,3609
6059,139829,184789,171605,133853,179127,175300
6061,18212,24564,22236,19509,24756,19876
6063,2595,3096,1924,1109,906,460
6065,132503,157112,125615,90393,97946,63337
6067,101989,122642,98642,69015,71957,44254
6069,2934,3212,3042,2604,3150,1870
6071,120942,144093,116938,82475,83801,47876
6073,190908,233397,188169,146620,165855,136840
6075,70227,56441,47776,38734,54153,68625
6077,45475,52947,39894,27695,29289,17605
6079,21886,23266,19178,13388,14169,10547
6081,29650,41049,40946,34327,48358,61428
6083,27146,32281,26743,16912,21301,17410
6085,80536,91175,86940,76591,115941,145564
6087,17997,18635,15739,12562,15007,13862
6089,19524,18626,13263,7825,5875,3987
6091,304,407,283,252,149,42
6093,7059,5802,3476,1928,1254,578
6095,21509,27522,27653,21085,24695,16547
6097,32660,40019,33979,25851,29852,21672
6099,39235,40897,31719,20872,20487,10631
6101,7010,8413,6229,4032,3607,2082
6103,7350,7359,4068,2077,1819,837
6105,1722,1989,1041,449,575,113
6107,35125,35401,22777,14170,12481,6710
6109,5518,6001,4235,2530,2533,1375
6111,37767,48461,45292,37267,50487,45031
6113,15763,14945,12143,8202,10964,7369
6115,6015,6549,4688,2872,2483,1143
