CTFIP,W0,W1,W2,W3
6001,122620,214958,156274,38174
6003,139,140,111,20
6005,5346,5558,3258,553
6007,30293,31790,19752,3630
6009,6667,6892,4452,783
6011,1879,2898,1708,487
6013,87179,143877,110568,26463
6015,4227,3604,1670,405
6017,17901,25711,20852,3930
6019,77291,108167,77782,20596
6021,2818,3634,2711,497
6023,17280,21842,12917,2237
6025,14177,18509,11516,3102
6027,2573,2965,2214,230
6029,65947,97980,67542,16588
6031,9004,17148,11241,3213
6033,9786,9941,4809,644
6035,3121,4386,2446,323
6037,699558,1318175,904817,295339
6039,14647,15109,9981,2352
6041,25781,42267,30341,4338
6043,3486,2221,1874,143
6045,11177,13098,8634,1465
6047,20448,27115,20763,5260
6049,1635,1359,912,71
6051,1044,1940,1874,425
6053,29089,46590,37486,11798
6055,12624,18139,14137,4279
6057,13956,14346,11100,1853
6059,196641,379749,303794,104319
6061,36158,45162,39965,7868
6063,3956,3612,2332,190
6065,176555,250648,184069,55634
6067,131231,202459,144477,30332
6069,3580,6186,5630,1416
6071,134774,237299,171288,52764
6073,241349,428175,314620,77645
6075,83819,138703,88709,24725
6077,54457,82941,59434,16073
6079,29410,37544,29577,5903
6081,53993,98237,80781,22747
6083,37357,51049,40465,12922
6085,117397,244143,185737,49470
6087,23162,35674,26811,8155
6089,25831,24798,15730,2741
6091,516,523,360,38
6093,8755,6496,4335,511
6095,31999,52903,42400,11709
6097,47777,70575,53233,12448
6099,43550,62710,46171,11410
6101,9112,10856,9224,2181
6103,8916,8373,5410,811
6105,2522,2066,1043,258
6107,32216,48772,36322,9354
6109,9146,7365,4741,940
6111,56796,96776,82283,28450
6113,17269,26938,20498,4681
6115,7165,8994,6459,1132
