CTFIP,Employed,Unemployed
6001,716535,461977
6003,513,406
6005,14311,18437
6007,90553,87700
6009,19286,18980
6011,8553,6998
6013,482883,315271
6015,9495,13439
6017,84876,57772
6019,368320,298927
6021,11601,9378
6023,60851,48396
6025,57488,66945
6027,8652,6265
6029,310717,284526
6031,52832,61031
6033,24116,27747
6035,10475,19033
6037,4523340,3078912
6039,52529,57594
6041,125078,77971
6043,7532,7776
6045,38813,31501
6047,94742,84694
6049,3633,4063
6051,8225,3012
6053,176184,134547
6055,63844,42918
6057,45055,36419
6059,1442732,873050
6061,156312,106840
6063,8903,8218
6065,864396,707233
6067,626237,449772
6069,24697,15658
6071,824087,655423
6073,1381692,1008778
6075,444509,250036
6077,271477,225734
6079,121594,99888
6081,360742,203800
6083,194121,137143
6085,843906,519432
6087,126432,82202
6089,70195,71327
6091,1615,1244
6093,17383,19290
6095,185557,134369
6097,233315,147919
6099,207479,171133
6101,38196,32537
6103,23099,25429
6105,5213,6321
6107,166403,138364
6109,21037,26237
6111,385389,238217
6113,90399,66543
6115,26175,26490
