CTFIP,Male,Female
6001,725077,752903
6003,666,510
6005,20781,17546
6007,108175,110460
6009,22978,23016
6011,10839,10326
6013,500249,524560
6015,15654,12817
6017,89764,89289
6019,454107,454723
6021,14076,13859
6023,66509,66549
6025,86759,81293
6027,9224,9210
6029,420962,394731
6031,85889,65233
6033,32294,32077
6035,22863,12218
6037,4811964,4946292
6039,71232,76506
6041,122533,126068
6043,9159,9131
6045,43955,43532
6047,126197,124502
6049,4816,4789
6051,7630,6275
6053,209831,197604
6055,66748,67303
6057,48741,49445
6059,1467799,1497726
6061,164341,172136
6063,10451,9941
6065,1050949,1058515
6067,683659,711485
6069,27324,27168
6071,998752,1006535
6073,1516787,1505681
6075,399683,389489
6077,335907,337706
6079,136223,129354
6081,345989,358338
6083,208781,207270
6085,873844,865552
6087,128150,128751
6089,86998,89908
6091,1689,1677
6093,22218,22472
6095,205213,204829
6097,233187,240860
6099,252215,257467
6101,46498,46922
6103,31198,31377
6105,6996,6705
6107,215004,214400
6109,29774,26300
6111,402061,407019
6113,95908,100510
6115,35887,35273
